Analyzing ....

  error - lib/features/auth/presentation/screens/common/phone_auth_screen.dart:6:8 - Target of URI doesn't exist: '../../providers/auth_provider.dart'. Try creating the file referenced by the URI, or try using a URI for a file that does exist. - uri_does_not_exist
  error - lib/features/auth/presentation/screens/common/phone_auth_screen.dart:33:18 - The name 'AuthProvider' isn't a type, so it can't be used as a type argument. Try correcting the name to an existing type, or defining a type named 'AuthProvider'. - non_type_as_type_argument
  error - lib/features/auth/presentation/screens/common/phone_auth_screen.dart:54:40 - The name 'AuthProvider' isn't a type, so it can't be used as a type argument. Try correcting the name to an existing type, or defining a type named 'AuthProvider'. - non_type_as_type_argument
warning - lib/features/auth/presentation/screens/login_screen.dart:4:8 - Unused import: 'package:go_router/go_router.dart'. Try removing the import directive. - unused_import
warning - lib/features/dashboard/presentation/screens/dashboard_screen.dart:12:8 - Unused import: 'package:image_picker/image_picker.dart'. Try removing the import directive. - unused_import
warning - lib/features/history/presentation/screens/history_screen.dart:5:8 - Unused import: 'package:google_fonts/google_fonts.dart'. Try removing the import directive. - unused_import
warning - lib/features/settings/presentation/screens/profile_edit_screen.dart:3:8 - Unused import: 'package:google_fonts/google_fonts.dart'. Try removing the import directive. - unused_import
   info - lib/features/auth/presentation/screens/common/otp_verification_screen.dart:45:9 - Don't use 'BuildContext's across async gaps. Try rewriting the code to not use the 'BuildContext', or guard the use with a 'mounted' check. - use_build_context_synchronously
   info - lib/features/auth/presentation/screens/common/otp_verification_screen.dart:47:30 - Don't use 'BuildContext's across async gaps. Try rewriting the code to not use the 'BuildContext', or guard the use with a 'mounted' check. - use_build_context_synchronously
   info - lib/features/auth/presentation/screens/common/otp_verification_screen.dart:73:39 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/common/otp_verification_screen.dart:90:54 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/common/phone_auth_screen.dart:78:54 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/login_screen.dart:40:56 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/login_screen.dart:60:64 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/onboarding_screen.dart:80:51 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/onboarding_screen.dart:101:88 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/user/user_pairing_screen.dart:62:44 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/user/user_pairing_screen.dart:79:54 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/user/user_pairing_screen.dart:94:63 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/user/user_pairing_screen.dart:97:134 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/auth/presentation/screens/user/user_pairing_screen.dart:99:63 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:56:21 - 'activeColor' is deprecated and shouldn't be used. Use activeThumbColor instead. This feature was deprecated after v3.31.0-2.0.pre. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:194:69 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:262:51 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:264:60 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:269:77 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:274:64 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:290:44 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:293:63 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:293:95 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:354:30 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:397:86 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:406:35 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:408:54 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:434:49 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:445:108 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:449:109 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/dashboard/presentation/screens/dashboard_screen.dart:453:109 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:20:50 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:33:68 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:100:47 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:125:63 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:139:63 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:160:39 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:171:73 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:178:60 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/family_shield/presentation/screens/family_dashboard_screen.dart:189:62 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:72:63 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:76:67 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:85:69 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:102:78 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:116:113 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:142:69 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:146:50 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/history_screen.dart:175:65 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:30:47 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:33:66 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:54:57 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:83:39 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:92:58 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:107:39 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/history/presentation/screens/sms_detail_screen.dart:166:33 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/ocr/services/ocr_service.dart:25:7 - Don't invoke 'print' in production code. Try using a logging framework. - avoid_print
   info - lib/features/reporting/presentation/screens/report_screen.dart:25:40 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/reporting/presentation/screens/report_screen.dart:38:54 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/settings/presentation/screens/help_screen.dart:66:50 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use
   info - lib/features/settings/presentation/screens/profile_edit_screen.dart:31:53 - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss. Try replacing the use of the deprecated member with the replacement. - deprecated_member_use

67 issues found.
